Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2015,6,Female,12,Right-Handed,165,34,54,1,Car,4,0.445,44,Swimming,5,10,2,1,10,10,56,Left foot,15,17,Index finger,April,Summer,,Yes,Pizza/Pasta,Water,History,5,7,4,Yes - other,Text messaging,3,22,2,3,4,7,3,0,8,1,12,15,0,1,A lot,Some college,Pop,Fly,Famous,Actor,Health
USA,PA,2011,6,Female,12,Ambidextrous,180,17,150,2,Bus,10,4,10,Football (American),0,0,0,,1000,1000,16,Right foot,50,60,Same length,March,Winter,Yes,No,Pizza/Pasta,Soft drink (caffeinated),Physical education,5,12,4,Yes - broadband connection,Text messaging,440,660,8,7,1,0,6,6,9,24,9,9,0,2,Some,Graduate degree,Rap/Hip hop,Freeze time,Famous,Actor,International aid
USA,WY,2014,7,Male,12,Ambidextrous,165,30,165,2,Bicycle,30,0.407,52,Football (American),1000,1000,1000,1000,1000,1000,30,Same length,80,79,Index finger,October,Winter,No,No,Breads/Sandwiches,Energy drink,Art,8,13,3,Yes - broadband connection,In person,0,0,12,0,2,3,4,2,0,0,4,6,0,5,Very little,Other,Techno/Electronic,Telepathy,Happy,Relative,Health
USA,NY,2015,6,Male,12,Ambidextrous,134,25,137,,Bus,45,0.34,45,Soccer,1000,500,700,900,100,1000,23,Right foot,70,75,Ring finger,June,Summer,No,No,Other,Milk,Science,7,6,4,Yes - other,Text messaging,40,70,10,4,5,9,6,0,0,0,3,6,0,9,Some,Some college,Country,Super strength,Rich,Relative,Health
USA,GU,2014,8,Female,13,Right-Handed,154,22.5,160,2,Bus,10,,,Baseball/Softball,519,1000,701,882,1000,1000,22.5,Same length,65,70,Same length,June,Summer,No,No,Desserts,Water,Mathematics and statistics,8,6,7,No internet connection,"Myspace, Facebook, other social networking sites, or blog",0,0,7,3,1,12,4,10,15,0,15,16,0,5,A lot,Graduate degree,Other,Fly,Happy,Friend,International aid
USA,RI,2013,6,Male,12,Right-Handed,154,23,163,1,Car,10,0.441,44,Basketball,503,754,401,658,396,877,24,Left foot,70.5,70,Index finger,August,Summer,Yes,No,Meat,Other,Physical education,11,5,5,Yes - other,In person,15,15,48,1,2,3,75,128,20,15,146,50,0,58,A lot,Graduate degree,Rap/Hip hop,Freeze time,Rich,Sports person,International aid
USA,NC,2013,6,Female,12,Right-Handed,150,23,147,2,Bus,45,0.337,42,Dancing,607,754,609,708,407,440,23,Same length,8,8,Same length,November,Winter,No,No,Rice/Noodle dishes,Water,Physical education,8.5,8,3,Yes - other,Text messaging,40,40,2,2,3,6,3,1,2,2,3,4,0,2,Very little,Graduate degree,Rhythm and blues (R&B),Telepathy,Healthy,Musician or singer,Health
USA,IL,2014,8,Female,14,Right-Handed,152,23,156,2,Walk,2,0.867,50,Soccer,900,300,100,0,500,1000,21,Right foot,70,65,Ring finger,September,Summer,No,No,Pizza/Pasta,Juice,Physical education,7,10,7,Yes - other,Text messaging,50,55,60,2,10,70,3,20,100,100,168,50,40,60,A lot,Graduate degree,Other,Freeze time,Happy,Relative,"Wildlife, animals"
USA,WI,2013,8,Male,14,Right-Handed,167,26,178,1,Car,3,0.25,33,Football (American),6,5,2,4,9,10,26,Same length,9,10,Ring finger,February,Summer,No,No,Meat,Water,Science,8.5,9.5,5,Yes - broadband connection,Text messaging,80,80,7,0.5,3.5,8,14,4,0,12,1.5,8,2,2,Some,Undergraduate degree,Rock and roll,Telepathy,Happy,Coach or club leader,"Arts, culture, sports"
USA,OH,2015,8,Male,13,Right-Handed,176,39,167,1,Car,45,0.245,51,Hockey (Ice),310,100,800,900,100,300,29,Same length,90,90,Same length,July,Winter,No,No,Meat,Milk,History,9,9,10,No internet connection,In person,0,0,3,0,1,7,4,0,0,0,0,0,0,2,Some,Graduate degree,Heavy metal,Invisibility,Happy,Religious figure,Education/Youth development
USA,NC,2014,8,Female,13,Right-Handed,,,,2,Car,25,33,68,Baseball/Softball,642,540,604,497,1000,1000,2,Left foot,10,11,Ring finger,March,Winter,No,Yes,Salads,Sports drink,Music,7,11,4,,,50,75,10,20,15,20,35,5,40,11,150,100,13,75,A lot,Graduate degree,Gospel,Invisibility,Famous,Sports person,Health
USA,DC,2010,6,Female,12,Right-Handed,58,24,153,1,Car,30,0.42,44,Dancing,1000,1000,1000,,160,160,24,Same length,75,75,Same length,March,Spring,Yes,No,Fruit,Soft drink (non-caffeinated),Art,10,10,4,Yes - other,Internet chat or instant messaging,0,2,35,1,10,15,35,1,1,0,1,0,1,1,Some,Graduate degree,Pop,Telepathy,Healthy,Other,Health
USA,GA,2013,6,Female,12,Right-Handed,5,9,63,2,Bus,8,39,38,Soccer,56,1000,1000,1000,1000,1000,9,Same length,8,10,Ring finger,September,Summer,Yes,No,Pizza/Pasta,Energy drink,Science,8,7,6,Yes - other,"Myspace, Facebook, other social networking sites, or blog",10,11,4,1,1,2,1,2,1,2,3,1,1,2,Some,Some college,Pop,Telepathy,Famous,Relative,Environment
USA,MD,2013,7,Female,12,Right-Handed,160,13,152,2,Bus,10,0.374,45,Soccer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
