Location,People Living with HIV/AIDS,Adults receiving ART,AIDS Deaths
Egypt,"8,800","1,650",<500
El Salvador,"21,000","10,205",<500
Equatorial Guinea,32000,"8,405","<1,000"
Eritrea,"16,000","7,448","<1,000"
Estonia,N/A,N/A,N/A
Ethiopia,"730,000","339,043","23,000"
Faeroe Islands,N/A,N/A,N/A
Falkland Islands (Malvinas),N/A,N/A,N/A
Fiji,"<1,000",193,<100
Finland,N/A,N/A,N/A
France,N/A,N/A,N/A
French Guiana,N/A,N/A,N/A
French Polynesia,N/A,N/A,N/A
French Southern Territories and Antarctic Lands,N/A,N/A,N/A
Gabon,"48,000","20,668","1,500"
Gambia,"20,000","4,206","<1,000"
Georgia,"6,600","2,493",<100
Germany,N/A,N/A,N/A
Ghana,"250,000","79,131","9,200"
Gibraltar,N/A,N/A,N/A
Greece,N/A,"6,980",N/A
Greenland,N/A,N/A,N/A
Grenada,N/A,N/A,N/A
Guadeloupe,N/A,N/A,N/A
Guam,N/A,N/A,N/A
Guatemala,"49,000","17,085","1,700"
Guinea,"120,000","30,847","3,800"
Guinea-Bissau,"42,000","7,732","1,900"
Guyana,"9,700","4,121",<200
Haiti,"140,000","59,982","3,800"
Heard Island and McDonald Islands,N/A,N/A,N/A
Honduras,"23,000","9,226","1,200"
Hungary,N/A,129,N/A
Iceland,N/A,N/A,N/A
India,N/A,"785,161",N/A
Indonesia,"660,000","48,441","34,000"
Iran (Islamic Republic of),"74,000","5,377","4,100"
Iraq,N/A,N/A,N/A
Ireland,8000,N/A,<100
Israel,N/A,N/A,N/A
Italy,N/A,N/A,N/A
Jamaica,"29,000","8,553","1,300"
Japan,N/A,N/A,N/A
Johnston Atoll,N/A,N/A,N/A
Jordan,N/A,N/A,N/A
Kazakhstan,20000,"4,639","<1,000"
Kenya,"1,400,000","689,156","33,000"
Kiribati,N/A,N/A,N/A
Korea (Dem. Peo. Rep. of),N/A,N/A,N/A
Korea (Republic of),N/A,N/A,N/A
Kuwait,N/A,N/A,N/A
Kyrgyzstan,"9,300","1,343",<500
Latvia,N/A,"1,055",N/A
Lebanon,1800,779,<100
Lesotho,"310,000","105,635","9,300"
Liberia,"33,000","6,504","2,000"
Libyan Arab Jamahiriya,N/A,N/A,N/A
Liechtenstein,N/A,N/A,N/A
Lithuania,N/A,542,N/A
Luxembourg,N/A,N/A,N/A
Macedonia (The former Yugoslav Republic of),N/A,94,N/A
Madagascar,"39,000",744,"3,200"
Malawi,"1,100,000","496,202","33,000"
Malaysia,"100,000","21,153","9,000"
Maldives,N/A,N/A,N/A
Mali,"130,000","29,113","5,300"
Malta,N/A,N/A,N/A
Marshall Islands,N/A,N/A,N/A
Martinique,N/A,N/A,N/A
Mauritania,16000,"2,137",1100
Mauritius,"8,300","2,334",<500
Mayotte,N/A,N/A,N/A
Mexico,"190,000","95,587","6,000"
Micronesia (Federated States of),N/A,N/A,N/A
Midway,N/A,N/A,N/A
Moldova (Republic of),"18,000","3,018","<1,000"
Monaco,N/A,N/A,N/A
Mongolia,N/A,126,N/A
Montenegro,N/A,81,N/A
Montserrat,N/A,N/A,N/A
Morocco,"29,000","6,840","1,100"
Mozambique,"1,500,000","585,544","45,000"
Myanmar,"210,000","72,316","10,000"
Namibia,"260,000","121,147","5,100"
Nauru,N/A,N/A,N/A
Nepal,"39,000","9,624","2,600"
Netherlands,N/A,N/A,N/A
Netherlands Antilles,N/A,N/A,N/A
New Caledonia,N/A,N/A,N/A
New Zealand,N/A,N/A,N/A
Nicaragua,"10,000","2,820",<500
Niger,"52,000","10,632","3,400"
Nigeria,"3,400,000","703,358","170,000"
Niue,N/A,N/A,N/A
Norfolk Island,N/A,N/A,N/A
Northern Mariana Islands,N/A,N/A,N/A
Norway,5800,N/A,<100
Oman,2400,"1,193",<100
Pakistan,"94,000","5,019","2,800"
Palau,N/A,N/A,N/A
Panama,"17,000","8,711","<1,000"
Papua New Guinea,"37,000","15,734","<1,000"
Paraguay,"17,000","4,707",<500
Peru,"72,000","31,989","2,500"
Philippines,36000,"8,457",<500
Pitcairn Island,N/A,N/A,N/A
Poland,N/A,"7,802",N/A
Portugal,N/A,N/A,N/A
Puerto Rico,N/A,N/A,N/A
Qatar,N/A,N/A,N/A
Reunion,N/A,N/A,N/A
Romania,N/A,"9,349",N/A
Russian Federation,"850,000-1,300,000","178,711",N/A
Rwanda,"210,000","134,719","3,000"
Saint Helena,N/A,N/A,N/A
Saint Kitts and Nevis,N/A,N/A,N/A
Saint Lucia,N/A,N/A,N/A
Saint Vincent and the Grenadines,N/A,N/A,N/A
Samoa,N/A,N/A,N/A
San Marino,N/A,N/A,N/A
Sao Tome and Principe,1000,398,<100
Saudi Arabia,N/A,N/A,N/A
Senegal,"44,000","15,703","2,400"
Serbia,N/A,"1,260",N/A
Seychelles,N/A,N/A,N/A
Sierra Leone,"54,000","10,289","2,700"
Singapore,N/A,"1,381",N/A
Slovakia,N/A,319,<100
Slovenia,"<1,000",N/A,<100
Solomon Islands,N/A,N/A,N/A
Somalia,"35,000","1,823","2,400"
South Africa,"6,800,000","2,911,590","140,000"
South Sudan,"190,000","10,767","13,000"
Spain,N/A,N/A,N/A
Sri Lanka,"3,300",605,<200
Sudan,"53,000","3,546","2,900"
Suriname,"3,800","1,569",<200
Svalbard and Jan Mayen Islands,N/A,N/A,N/A
Swaziland,"210,000","117,515","3,500"
Sweden,"10,000-19,000",N/A,<100
Switzerland,N/A,N/A,N/A
Syrian Arab Republic,<1000,140,<100
Tajikistan,"16,000","2,133","<1,000"
Tanzania (United Rep. of),"1,500,000","598,202","46,000"
Thailand,"450,000","267,150","19,000"
Timor Leste,N/A,161,N/A
Togo,"110,000","34,650","4,300"
Tokelau,N/A,N/A,N/A
Tonga,N/A,N/A,N/A
Trinidad and Tobago,N/A,"6,286",N/A
Tunisia,"2,700",627,<100
Turkey,N/A,N/A,N/A
Turkmenistan,N/A,N/A,N/A
Turks and Caicos Island,N/A,N/A,N/A
Tuvalu,N/A,N/A,N/A
Uganda,"1,500,000","694,628","33,000"
Ukraine,"290,000","61,325","15,000"
United Arab Emirates,N/A,N/A,N/A
United Kingdom,N/A,N/A,N/A
United States of America,N/A,N/A,N/A
Uruguay,"14,000","5,157","<1,000"
Uzbekistan,"32,000","7,021","2,200"
Vanuatu,N/A,N/A,N/A
Venezuela,"110,000","42,602",N/A
Viet Nam,"250,000","88,740","11,000"
Virgin Islands (U.S.),N/A,N/A,N/A
Wake Island,N/A,N/A,N/A
Wallis and Futuna Islands,N/A,N/A,N/A
West Bank and Gaza,N/A,N/A,N/A
Western Sahara,N/A,N/A,N/A
Yemen,"7,200","1,215",<500
Zambia,"1,200,000","615,153","19,000"
Zimbabwe,"1,600,000","732,919","39,000"
